State, worker-6, ACTOR_STATE, 0.000000, 5.133855, 5.133855, 0.000000, receive
State, worker-6, ACTOR_STATE, 0.586168, 1.617266, 1.031098, 1.000000, execute
State, worker-6, ACTOR_STATE, 1.617266, 5.133855, 3.516589, 1.000000, receive
State, worker-6, ACTOR_STATE, 1.749885, 2.780982, 1.031097, 2.000000, execute
State, worker-6, ACTOR_STATE, 2.780982, 5.133855, 2.352873, 2.000000, receive
State, worker-6, ACTOR_STATE, 2.913601, 3.944699, 1.031098, 3.000000, execute
State, worker-6, ACTOR_STATE, 3.944699, 5.133855, 1.189156, 3.000000, receive
State, worker-6, ACTOR_STATE, 4.077318, 5.108416, 1.031098, 4.000000, execute
State, worker-6, ACTOR_STATE, 5.108416, 5.133855, 0.025439, 4.000000, receive
State, worker-5, ACTOR_STATE, 0.000000, 4.965689, 4.965689, 0.000000, receive
State, worker-5, ACTOR_STATE, 0.453549, 1.484647, 1.031098, 1.000000, execute
State, worker-5, ACTOR_STATE, 1.484647, 4.965689, 3.481042, 1.000000, receive
State, worker-5, ACTOR_STATE, 1.608379, 2.639477, 1.031098, 2.000000, execute
State, worker-5, ACTOR_STATE, 2.639477, 4.965689, 2.326212, 2.000000, receive
State, worker-5, ACTOR_STATE, 2.763209, 3.794306, 1.031097, 3.000000, execute
State, worker-5, ACTOR_STATE, 3.794306, 4.965689, 1.171383, 3.000000, receive
State, worker-5, ACTOR_STATE, 3.918038, 4.949136, 1.031098, 4.000000, execute
State, worker-5, ACTOR_STATE, 4.949136, 4.965689, 0.016553, 4.000000, receive
State, worker-4, ACTOR_STATE, 0.000000, 4.122236, 4.122236, 0.000000, receive
State, worker-4, ACTOR_STATE, 0.329817, 0.985159, 0.655342, 1.000000, execute
State, worker-4, ACTOR_STATE, 0.985159, 4.122236, 3.137077, 1.000000, receive
State, worker-4, ACTOR_STATE, 1.154314, 1.809656, 0.655342, 2.000000, execute
State, worker-4, ACTOR_STATE, 1.809656, 4.122236, 2.312580, 2.000000, receive
State, worker-4, ACTOR_STATE, 2.079701, 2.735044, 0.655343, 3.000000, execute
State, worker-4, ACTOR_STATE, 2.735044, 4.122236, 1.387192, 3.000000, receive
State, worker-4, ACTOR_STATE, 3.243418, 3.898760, 0.655342, 4.000000, execute
State, worker-4, ACTOR_STATE, 3.898760, 4.122236, 0.223476, 4.000000, receive
State, worker-3, ACTOR_STATE, 0.000000, 4.096528, 4.096528, 0.000000, receive
State, worker-3, ACTOR_STATE, 0.171420, 0.826762, 0.655342, 1.000000, execute
State, worker-3, ACTOR_STATE, 0.826762, 4.096528, 3.269766, 1.000000, receive
State, worker-3, ACTOR_STATE, 0.995917, 1.651259, 0.655342, 2.000000, execute
State, worker-3, ACTOR_STATE, 1.651259, 4.096528, 2.445269, 2.000000, receive
State, worker-3, ACTOR_STATE, 1.921304, 2.576647, 0.655343, 3.000000, execute
State, worker-3, ACTOR_STATE, 2.576647, 4.096528, 1.519881, 3.000000, receive
State, worker-3, ACTOR_STATE, 3.085021, 3.740364, 0.655343, 4.000000, execute
State, worker-3, ACTOR_STATE, 3.740364, 4.096528, 0.356164, 4.000000, receive
State, worker-2, ACTOR_STATE, 0.000000, 4.077513, 4.077513, 0.000000, receive
State, worker-2, ACTOR_STATE, 0.002265, 0.511975, 0.509710, 1.000000, execute
State, worker-2, ACTOR_STATE, 0.511975, 4.077513, 3.565538, 1.000000, receive
State, worker-2, ACTOR_STATE, 0.588433, 1.098143, 0.509710, 2.000000, execute
State, worker-2, ACTOR_STATE, 1.098143, 4.077513, 2.979370, 2.000000, receive
State, worker-2, ACTOR_STATE, 1.752150, 2.261860, 0.509710, 3.000000, execute
State, worker-2, ACTOR_STATE, 2.261860, 4.077513, 1.815653, 3.000000, receive
State, worker-2, ACTOR_STATE, 2.915867, 3.425577, 0.509710, 4.000000, execute
State, worker-2, ACTOR_STATE, 3.425577, 4.077513, 0.651936, 4.000000, receive
State, master-1, ACTOR_STATE, 0.000000, 5.133855, 5.133855, 0.000000, send
State, master-1, ACTOR_STATE, 0.002265, 5.133855, 5.131590, 1.000000, send
State, master-1, ACTOR_STATE, 0.171420, 5.133855, 4.962435, 2.000000, send
State, master-1, ACTOR_STATE, 0.329817, 5.133855, 4.804038, 3.000000, send
State, master-1, ACTOR_STATE, 0.453549, 5.133855, 4.680306, 4.000000, send
State, master-1, ACTOR_STATE, 0.586168, 5.133855, 4.547687, 5.000000, send
State, master-1, ACTOR_STATE, 0.588433, 5.133855, 4.545422, 6.000000, send
State, master-1, ACTOR_STATE, 0.995917, 5.133855, 4.137938, 7.000000, send
State, master-1, ACTOR_STATE, 1.154314, 5.133855, 3.979541, 8.000000, send
State, master-1, ACTOR_STATE, 1.608379, 5.133855, 3.525476, 9.000000, send
State, master-1, ACTOR_STATE, 1.749885, 5.133855, 3.383970, 10.000000, send
State, master-1, ACTOR_STATE, 1.752150, 5.133855, 3.381705, 11.000000, send
State, master-1, ACTOR_STATE, 1.921304, 5.133855, 3.212551, 12.000000, send
State, master-1, ACTOR_STATE, 2.079701, 5.133855, 3.054154, 13.000000, send
State, master-1, ACTOR_STATE, 2.763209, 5.133855, 2.370646, 14.000000, send
State, master-1, ACTOR_STATE, 2.913601, 5.133855, 2.220254, 15.000000, send
State, master-1, ACTOR_STATE, 2.915867, 5.133855, 2.217988, 16.000000, send
State, master-1, ACTOR_STATE, 3.085021, 5.133855, 2.048834, 17.000000, send
State, master-1, ACTOR_STATE, 3.243418, 5.133855, 1.890437, 18.000000, send
State, master-1, ACTOR_STATE, 3.918038, 5.133855, 1.215817, 19.000000, send
State, master-1, ACTOR_STATE, 4.077318, 5.133855, 1.056537, 20.000000, send
State, master-1, ACTOR_STATE, 4.077513, 5.133855, 1.056342, 21.000000, send
State, master-1, ACTOR_STATE, 4.096528, 5.133855, 1.037327, 22.000000, send
State, master-1, ACTOR_STATE, 4.122236, 5.133855, 1.011619, 23.000000, send
State, master-1, ACTOR_STATE, 4.965689, 5.133855, 0.168166, 24.000000, send
